player,games,minutes,points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,rebds.,assists,steals,blocks,TOV,PF,EFF,AST/,STL/,salary
Stephen Curry,56,1905,1751,572,1178,48.6,291,683,42.6,316,345,91.6,25,285,310,323,67,7,188,103,1635,1.72,0.36,43006362
Bradley Beal,55,1952,1707,607,1254,48.4,119,343,34.7,374,415,90.1,64,194,258,246,64,19,175,130,1431,1.41,0.37,28751775
Nikola Jokic,64,2243,1679,654,1152,56.8,89,216,41.2,282,328,86,182,518,700,546,89,43,200,168,2313,2.73,0.45,28542009
Damian Lillard,59,2116,1668,517,1187,43.6,238,630,37.8,396,427,92.7,29,222,251,446,55,16,184,96,1551,2.42,0.3,31626953
Luka Doncic,58,2040,1661,590,1214,48.6,171,484,35.3,310,426,72.8,47,416,463,515,58,34,250,138,1741,2.06,0.23,8049360
Zion Williamson,59,1952,1592,614,996,61.6,10,32,31.3,354,510,69.4,157,264,421,218,53,37,157,134,1626,1.39,0.34,10245480
Jayson Tatum,58,2082,1539,550,1197,45.9,171,435,39.3,268,307,87.3,44,383,427,255,66,24,157,108,1468,1.62,0.42,9897120
Devin Booker,60,2028,1535,564,1158,48.7,116,337,34.4,291,339,85.8,27,221,248,265,51,16,191,165,1282,1.39,0.27,29430000
Giannis Antetokounmpo,54,1787,1531,557,980,56.8,61,195,31.3,356,522,68.2,88,512,600,319,65,69,191,145,1804,1.67,0.34,27528090
Nikola Vucevic,64,2150,1525,617,1274,48.4,164,399,41.1,127,152,83.6,129,605,734,239,61,44,116,122,1805,2.06,0.53,26000000
Julius Randle,63,2356,1523,538,1159,46.4,143,339,42.2,304,376,80.9,79,571,650,373,60,16,214,198,1715,1.74,0.28,18900000
De'Aaron Fox,58,2036,1461,529,1110,47.7,103,320,32.2,300,417,71.9,33,170,203,417,87,27,174,170,1323,2.4,0.5,8099627
Zach LaVine,53,1867,1458,521,1030,50.6,182,437,41.6,234,276,84.8,32,238,270,269,43,27,193,124,1323,1.39,0.22,19500000
Jaylen Brown,58,1999,1430,538,1111,48.4,163,411,39.7,191,250,76.4,71,276,347,195,72,32,158,168,1286,1.23,0.46,22991071
Trae Young,56,1913,1430,432,995,43.4,129,359,35.9,437,498,87.8,35,181,216,527,50,11,236,103,1374,2.23,0.21,6571800
Brandon Ingram,59,2032,1418,503,1075,46.8,139,366,38,273,312,87.5,34,260,294,287,40,36,152,122,1312,1.89,0.26,27285000
Donovan Mitchell,53,1771,1401,478,1091,43.8,178,461,38.6,267,316,84.5,50,185,235,277,52,15,147,117,1171,1.88,0.35,5195501
Joel Embiid,45,1424,1319,419,818,51.2,53,141,37.6,428,501,85.4,102,383,485,133,46,62,140,110,1433,0.95,0.33,29542010
Kyrie Irving,48,1690,1285,487,976,49.9,126,331,38.1,185,200,92.5,51,187,238,304,64,28,121,122,1294,2.51,0.53,33329100
Collin Sexton,52,1854,1270,464,961,48.3,88,233,37.8,254,312,81.4,50,113,163,215,58,9,142,139,1018,1.51,0.41,4991880
Khris Middleton,62,2072,1262,466,982,47.5,141,331,42.6,189,212,89.2,50,322,372,340,70,9,165,147,1349,2.06,0.42,33051724
Russell Westbrook,57,2042,1250,476,1082,44,72,229,31.4,226,355,63.7,96,540,636,627,76,19,279,161,1594,2.25,0.27,41358814
Terry Rozier,61,2078,1240,449,985,45.6,201,506,39.7,141,170,82.9,37,221,258,251,74,25,113,106,1170,2.22,0.66,18900000
Anthony Edwards,65,2060,1205,438,1088,40.3,147,463,31.7,182,235,77.4,53,248,301,179,76,29,143,111,944,1.25,0.53,9757440
Kawhi Leonard,47,1612,1199,438,848,51.7,92,232,39.7,231,263,87.8,54,258,312,241,77,20,92,77,1315,2.62,0.84,34379100
Jerami Grant,53,1805,1191,395,922,42.8,115,325,35.4,286,337,84.9,35,211,246,151,35,56,106,124,995,1.43,0.33,19047619
Malcolm Brogdon,56,1930,1186,444,980,45.3,145,374,38.8,153,177,86.4,58,236,294,329,49,15,115,110,1198,2.86,0.43,20700000
Norman Powell,62,1957,1165,399,827,48.2,154,377,40.8,213,246,86.6,37,149,186,117,76,16,111,144,988,1.05,0.69,10865952
Andrew Wiggins,64,2118,1159,438,928,47.2,125,329,38,158,223,70.9,69,236,305,152,63,64,117,140,1071,1.3,0.54,29542010
Paul George,49,1646,1159,409,871,47,157,373,42.1,184,211,87.2,42,279,321,257,60,22,161,119,1169,1.6,0.37,35450412
DeMar DeRozan,53,1817,1149,393,803,48.9,18,73,24.7,345,390,88.5,39,194,233,390,47,13,104,109,1273,3.75,0.45,27739975
RJ Barrett,64,2225,1131,422,941,44.8,102,261,39.1,185,249,74.3,64,304,368,193,49,17,128,170,1047,1.51,0.38,8231760
Pascal Siakam,53,1892,1110,402,888,45.3,70,231,30.3,236,282,83.7,91,293,384,237,60,37,120,169,1176,1.98,0.5,29000000
Bam Adebayo,58,1944,1106,420,738,56.9,2,8,25,264,329,80.2,132,395,527,307,66,61,154,130,1530,1.99,0.43,5115492
Tobias Harris,55,1797,1082,422,818,51.6,75,187,40.1,163,183,89.1,54,329,383,201,50,48,100,109,1248,2.01,0.5,33517241
