player,team,position,games,minutes,points,rebds.,assists,steals,blocks,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA,salary
Arike Ogunbowale,Dal,G,22,748,501,61,75,34,0,48,41.2,85.6,45,10,51,143,33.6,173,420,107,125,57000
A'ja Wilson,LVA,F,22,699,450,188,45,27,44,0,48,78.1,35,34,154,0,0,166,346,118,151,57000
DeWanna Bonner,Con,G,22,732,434,172,65,37,12,27,42.2,89.5,52,34,138,107,25.2,148,351,111,124,215000
Breanna Stewart,Sea,F,20,607,394,165,72,33,26,35,45.1,89.4,50,20,145,95,36.8,133,295,93,104,185000
Kelsey Mitchell,Ind,G,22,706,394,48,62,14,2,56,44.8,84.9,54,6,42,144,38.9,138,308,62,73,58978
Skylar Diggins-Smith,Pho,G,22,675,390,73,93,20,11,46,47.4,90,70,11,62,116,39.7,127,268,90,100,215000
Betnijah Laney,Atl,G,22,738,378,107,87,35,2,30,48.1,82.7,66,24,83,74,40.5,143,297,62,75,68000
Myisha Hines-Allen,Was,F,22,659,374,195,57,32,5,26,51,82.8,48,35,160,61,42.6,150,294,48,58,57000
Diana Taurasi,Pho,G,19,533,356,79,86,19,8,61,40.9,91.2,44,2,77,167,36.5,96,235,103,113,119500
Napheesa Collier,Min,F,22,752,355,199,73,40,28,20,52.3,82.9,59,61,138,49,40.8,136,260,63,76,57000
Crystal Dangerfield,Min,G,21,629,341,41,75,18,1,34,47.1,92.2,53,5,36,102,33.3,124,263,59,64,59750
Jewell Loyd,Sea,G,22,613,340,52,70,32,6,39,44.3,87.5,42,14,38,100,39,112,253,77,88,119500
Allie Quigley,Chi,G,22,631,338,63,52,14,6,46,44.8,91.9,28,6,57,133,34.6,129,288,34,37,200000
Kahleah Copper,Chi,G,22,688,326,120,47,21,5,21,49.6,73.2,54,21,99,61,34.4,132,266,41,56,165000
Ariel Atkins,Was,G,22,682,326,64,53,39,6,44,43.8,88.6,42,18,46,107,41.1,110,251,62,70,57000
Alyssa Thomas,Con,F,21,689,325,190,101,42,6,0,50,68.6,52,39,151,1,0,122,244,81,118,117000
Candace Parker,LA,F,22,665,324,214,101,26,27,19,51,73.1,64,37,177,48,39.6,124,243,57,78,119500
Angel McCoughtry,LVA,F,22,442,317,112,54,29,6,16,51.8,88.2,38,37,75,34,47.1,117,226,67,76,185000
Chelsea Gray,LA,G,22,679,308,81,116,34,2,18,44.2,93.9,60,15,66,59,30.5,122,276,46,49,195000
Courtney Vandersloot,Chi,G,22,693,300,77,219,26,8,30,49.1,88.9,54,11,66,76,39.5,107,218,56,63,206000
Courtney Williams,Atl,G,20,615,292,143,63,13,2,8,43.6,69.6,54,37,106,34,23.5,134,307,16,23,185000
Dearica Hamby,LVA,F,22,615,286,157,60,37,4,18,53.9,71.6,45,28,129,38,47.4,110,204,48,67,117000
Damiris Dantas,Min,C,22,586,283,134,58,25,5,39,46.4,72.7,40,37,97,90,43.3,102,220,40,55,105000
Chennedy Carter,Atl,G,16,406,279,36,55,14,5,12,47.3,82.1,43,8,28,32,37.5,106,224,55,67,68000
Candice Dupree,Ind,F,22,667,276,125,55,16,9,3,46.2,85.4,28,27,98,18,16.7,116,251,41,48,119500
Kayla McBride,LVA,G,22,587,275,51,52,26,2,25,42.5,89.7,31,9,42,73,34.2,90,212,70,78,117000
Cheyenne Parker,Chi,F,20,497,268,128,30,26,18,15,55.4,85.5,55,47,81,32,46.9,97,175,59,69,110000
Allisha Gray,Dal,G,20,524,261,84,26,22,6,25,46.4,83.1,22,27,57,71,35.2,91,196,54,65,65779
Emma Meesseman,Was,C,20,634,260,106,90,24,16,13,45.4,82.9,40,33,73,45,28.9,109,240,29,35,215000
Kia Nurse,NY,G,21,578,256,60,48,11,4,31,27.3,86.4,46,11,49,130,23.8,68,249,89,103,57000
Tiffany Mitchell,Ind,G,19,505,242,65,49,12,2,17,34.6,95.1,45,15,50,73,23.3,74,214,77,81,140000
Jackie Young,LVA,G,22,564,241,95,67,15,2,3,49.2,85.2,35,18,77,13,23.1,93,189,52,61,57000
Teaira McCowan,Ind,C,22,466,240,161,14,7,22,0,53.6,75,43,69,92,3,0,90,168,60,80,57000
Nneka Ogwumike,LA,F,18,476,240,87,31,19,3,9,56.9,83.7,28,21,66,18,50,95,167,41,49,117000
Brionna Jones,Con,C,21,549,235,118,21,35,14,1,60.5,69.1,34,59,59,1,100,98,162,38,55,68000
